id,name,circonscription,current_party,path
17859,André Bachand,Richmond,Coalition avenir Québec,/fr/deputes/bachand-andre-17859/index.html
17909,Frantz Benjamin,Viau,Parti libéral du Québec,/fr/deputes/benjamin-frantz-17909/index.html
15417,Chantal Soucy,Saint-Hyacinthe,Coalition avenir Québec,/fr/deputes/soucy-chantal-15417/index.html
15399,Sylvie D'Amours,Mirabel,Coalition avenir Québec,/fr/deputes/d-amours-sylvie-15399/index.html
17889,Christine Labrie,Sherbrooke,Québec solidaire,/fr/deputes/labrie-christine-17889/index.html
17879,Louis Lemieux,Saint-Jean,Coalition avenir Québec,/fr/deputes/lemieux-louis-17879/index.html
17949,Lucie Lecours,Plaines,Coalition avenir Québec,/fr/deputes/lecours-lucie-17949/index.html
17941,Simon Allaire,Maskinongé,Coalition avenir Québec,/fr/deputes/allaire-simon-17941/index.html
15439,Marie-Claude Nichols,Vaudreuil,Parti libéral du Québec,/fr/deputes/nichols-marie-claude-15439/index.html
5909,Sébastien Schneeberger,Drummond–Bois-Francs,Coalition avenir Québec,/fr/deputes/schneeberger-sebastien-5909/index.html
991,Pascal Bérubé,Matane-Matapédia,Parti québécois,/fr/deputes/berube-pascal-991/index.html
17825,Suzanne Blais,,Coalition avenir Québec,/fr/deputes/blais-suzanne-17825/index.html
17881,Youri Chassin,Saint-Jérôme,Indépendant,/fr/deputes/chassin-youri-17881/index.html
17849,Vincent Caron,Portneuf,Coalition avenir Québec,/fr/deputes/caron-vincent-17849/index.html
17921,Robert Bussière,Gatineau,Coalition avenir Québec,/fr/deputes/bussiere-robert-17921/index.html
17857,Jean-Bernard Émond,Richelieu,Coalition avenir Québec,/fr/deputes/emond-jean-bernard-17857/index.html
17823,Pierre Dufour,,Indépendant,/fr/deputes/dufour-pierre-17823/index.html
15357,Mario Laframboise,Blainville,Coalition avenir Québec,/fr/deputes/laframboise-mario-15357/index.html
12213,Sylvain Lévesque,Chauveau,Coalition avenir Québec,/fr/deputes/levesque-sylvain-12213/index.html
17829,Luc Provençal,Beauce-Nord,Coalition avenir Québec,/fr/deputes/provencal-luc-17829/index.html
17867,Vincent Marissal,Rosemont,Indépendant,/fr/deputes/marissal-vincent-17867/index.html
