"full_name","province_or_state","district_id","gender","career","type","election_date","year","exit_year","party_id","legislature_id","Lstart_date","Lend_date","other_names","country_id","institution_id"
"simon allaire","QC","maskinonge","m","business","election",2018-10-01,2018,"NA","CAQ",42,2018-10-01,2022-08-28,"allaire ; m. allaire","CAN","QCASSNAT"
"simon allaire","QC","maskinonge","m","business","election",2022-10-03,2022,"NA","CAQ",43,NA,NA,"allaire","CAN","QCASSNAT"
"dominique anglade","QC","sainthenrisainteanne","f","engineering","byelection",2014-04-07,2014,"NA","PLQ",41,2014-04-07,2018-08-23,"anglade","CAN","QCASSNAT"
"dominique anglade","QC","sainthenrisainteanne","f","engineering","election",2018-10-01,2018,"NA","PLQ",42,2018-10-01,2022-08-28,"mme anglade ; dominique anglade replique ; anglade","CAN","QCASSNAT"
"pierre arcand","QC","montroyal","m","business","election",2007-03-26,2007,"NA","PLQ",38,2007-03-26,2008-11-05,"arcand","CAN","QCASSNAT"
"pierre arcand","QC","montroyal","m","business","election",2008-12-08,2008,"NA","PLQ",39,2008-12-08,2012-08-01,"arcand","CAN","QCASSNAT"
"pierre arcand","QC","montroyal","m","business","election",2012-09-04,2012,"NA","PLQ",40,2012-09-04,2014-03-05,"arcand","CAN","QCASSNAT"
"pierre arcand","QC","montroyal","m","business","election",2014-04-07,2014,"NA","PLQ",41,2014-04-07,2018-08-23,"arcand","CAN","QCASSNAT"
"pierre arcand","QC","montroyaloutremont","m","business","election",2018-10-01,2018,"NA","PLQ",42,2018-10-01,2022-08-28,"arcand ; m. arcand ; m.arcand","CAN","QCASSNAT"
"damien arsenault","QC","bonaventure","m","forestry","byelection",2008-12-08,2008,"2012","PLQ",39,2008-12-08,2012-08-01,"arsenault","CAN","QCASSNAT"
"joel arseneau","QC","ilesdelamadeleine","m","journalism","election",2018-10-01,2018,"NA","PQ",42,2018-10-01,2022-08-28,"arseneau ; m. arseneau ; m.arseneau","CAN","QCASSNAT"
"joel arseneau","QC","ilesdelamadeleine","m","journalism","election",2022-10-03,2022,"NA","PQ",43,NA,NA,"arseneau","CAN","QCASSNAT"
"maxime arseneau","QC","ilesdelamadeleine","m","education","election",1998-11-30,1998,"2008","PQ",36,1998-11-30,2003-02-12,"arseneau","CAN","QCASSNAT"
"maxime arseneau","QC","ilesdelamadeleine","m","education","election",2003-04-14,2003,"2008","PQ",37,2003-04-14,2007-02-21,"arseneau","CAN","QCASSNAT"
"maxime arseneau","QC","ilesdelamadeleine","m","education","election",2007-03-26,2007,"2008","PQ",38,2007-03-26,2008-11-05,"arseneau","CAN","QCASSNAT"
"mario asselin","QC","vanierlesrivieres","m","business","election",2018-10-01,2018,"NA","CAQ",42,2018-10-01,2022-08-28,"asselin","CAN","QCASSNAT"
"mario asselin","QC","vanierlesrivieres","m","business","election",2022-10-03,2022,"NA","CAQ",43,NA,NA,"asselin","CAN","QCASSNAT"
"vincent auclair","QC","vimont","m","notarialpractice","election",2003-04-14,2003,"2012","PLQ",37,2003-04-14,2007-02-21,"auclair","CAN","QCASSNAT"
"vincent auclair","QC","vimont","m","notarialpractice","election",2007-03-26,2007,"2012","PLQ",38,2007-03-26,2008-11-05,"auclair","CAN","QCASSNAT"
"vincent auclair","QC","vimont","m","notarialpractice","election",2008-12-08,2008,"2012","PLQ",39,2008-12-08,2012-08-01,"auclair","CAN","QCASSNAT"
"michel audet","QC","laporte","m","business","election",2003-04-14,2003,"2007","PLQ",37,2003-04-14,2007-02-21,"audet","CAN","QCASSNAT"
"pierre auger","QC","champlain","m","business","election",2007-03-26,2007,"2008","ADQ",38,2007-03-26,2008-11-05,"auger","CAN","QCASSNAT"
"pierre auger","QC","champlain","m","business","election",2014-04-07,2014,"2018","PLQ",41,2014-04-07,2018-08-23,"auger","CAN","QCASSNAT"
"jeanmartin aussant","QC","nicoletyamaska","m","business","election",2008-12-08,2008,"2012","PQ",39,2008-12-08,2012-08-01,"aussant","CAN","QCASSNAT"
"andre bachand","QC","richmond","m","business","election",2018-10-01,2018,"NA","CAQ",42,2018-10-01,2022-08-28,"bachand ; m. bachand ; m.bachand","CAN","QCASSNAT"
"andre bachand","QC","richmond","m","business","election",2022-10-03,2022,"NA","CAQ",43,NA,NA,"bachand","CAN","QCASSNAT"
"claude bachand","QC","arthabaska","m","education","election",2003-04-14,2003,"2007","PLQ",37,2003-04-14,2007-02-21,NA,"CAN","QCASSNAT"
"claude bachand","QC","arthabaska","m","education","election",2008-12-08,2008,"2012","PLQ",39,2008-12-08,2012-08-01,NA,"CAN","QCASSNAT"
"raymond bachand","QC","outremont","m","business","byelection",2003-04-14,2003,"2013","PLQ",37,2003-04-14,2007-02-21,NA,"CAN","QCASSNAT"
"raymond bachand","QC","outremont","m","business","election",2007-03-26,2007,"2013","PLQ",38,2007-03-26,2008-11-05,"bachand","CAN","QCASSNAT"
"raymond bachand","QC","outremont","m","business","election",2008-12-08,2008,"2013","PLQ",39,2008-12-08,2012-08-01,NA,"CAN","QCASSNAT"
"raymond bachand","QC","outremont","m","business","election",2012-09-04,2012,"2013","PLQ",40,2012-09-04,2014-03-05,"bachand","CAN","QCASSNAT"
"diane barbeau","QC","vanier","f","business","election",1994-09-12,1994,"2003","PQ",35,1994-09-12,1998-11-25,"barbeau","CAN","QCASSNAT"
"diane barbeau","QC","vanier","f","business","election",1998-11-30,1998,"2003","PQ",36,1998-11-30,2003-02-12,"barbeau","CAN","QCASSNAT"
"jacques baril","QC","arthabaska","m","agriculture","election",1994-09-12,1994,"2003","PQ",35,1994-09-12,1998-11-25,"baril","CAN","QCASSNAT"
"jacques baril","QC","arthabaska","m","agriculture","election",1998-11-30,1998,"2003","PQ",36,1998-11-30,2003-02-12,"baril","CAN","QCASSNAT"
"gilles baril2","QC","berthier","m","journalism","election",1994-09-12,1994,"2002","PQ",35,1994-09-12,1998-11-25,"baril","CAN","QCASSNAT"
"gilles baril2","QC","berthier","m","journalism","election",1998-11-30,1998,"2002","PQ",36,1998-11-30,2003-02-12,"baril","CAN","QCASSNAT"
"gaetan barrette","QC","lapiniere","m","medicine","election",2014-04-07,2014,"NA","PLQ",41,2014-04-07,2018-08-23,"barrette","CAN","QCASSNAT"
"gaetan barrette","QC","lapiniere","m","medicine","election",2018-10-01,2018,"NA","PLQ",42,2018-10-01,2022-08-28,"barrette ; m. barrette ; m.barrette","CAN","QCASSNAT"
"line beauchamp","QC","sauve","f","business","election",1998-11-30,1998,"2012","PLQ",36,1998-11-30,2003-02-12,"beauchamp","CAN","QCASSNAT"
"line beauchamp","QC","bourassasauve","f","business","election",2003-04-14,2003,"2012","PLQ",37,2003-04-14,2007-02-21,"beauchamp","CAN","QCASSNAT"
"line beauchamp","QC","bourassasauve","f","business","election",2007-03-26,2007,"2012","PLQ",38,2007-03-26,2008-11-05,"beauchamp","CAN","QCASSNAT"
"line beauchamp","QC","bourassasauve","f","business","election",2008-12-08,2008,"2012","PLQ",39,2008-12-08,2012-08-01,"beauchamp","CAN","QCASSNAT"
"regent beaudet","QC","argenteuil","m","medicine","election",1994-09-12,1994,"1997","PLQ",35,1994-09-12,1998-11-25,"beaudet","CAN","QCASSNAT"
"denise beaudoin","QC","mirabel","f","law","election",2003-04-14,2003,"2007","PQ",37,2003-04-14,2007-02-21,"beaudet","CAN","QCASSNAT"
"denise beaudoin","QC","mirabel","f","law","election",2008-12-08,2008,"2014","PQ",39,2008-12-08,2012-08-01,NA,"CAN","QCASSNAT"
"denise beaudoin","QC","mirabel","f","law","election",2012-09-04,2012,"2014","PQ",40,2012-09-04,2014-03-05,"beaudet","CAN","QCASSNAT"
"louise beaudoin","QC","chambly","f","business","election",1994-09-12,1994,"2003","PQ",35,1994-09-12,1998-11-25,"beaudet","CAN","QCASSNAT"
"louise beaudoin","QC","chambly","f","business","election",1998-11-30,1998,"2003","PQ",36,1998-11-30,2003-02-12,"beaudet","CAN","QCASSNAT"
"louise beaudoin","QC","rosemont","f","business","election",2008-12-08,2008,"2012","PQ",39,2008-12-08,2012-08-01,NA,"CAN","QCASSNAT"
"francois beaulne","QC","margueritedyouville","m","business","election",1994-09-12,1994,"2003","PQ",35,1994-09-12,1998-11-25,"beaulne","CAN","QCASSNAT"
"francois beaulne","QC","margueritedyouville","m","business","election",1998-11-30,1998,"2003","PQ",36,1998-11-30,2003-02-12,"beaulne","CAN","QCASSNAT"
"yves beaumier","QC","champlain","m","education","election",1994-09-12,1994,"2003","PQ",35,1994-09-12,1998-11-25,"beaumier","CAN","QCASSNAT"
"yves beaumier","QC","champlain","m","education","election",1998-11-30,1998,"2003","PQ",36,1998-11-30,2003-02-12,"beaumier","CAN","QCASSNAT"
